Notering;Titel;Artiest;Jaar
677;Rock 'n' roll (I gave you the best years of my life);The Cats;1974
678;Be My Number Two;Joe Jackson;1984
679;The power of love;Frankie Goes to Hollywood;1984
680;Lust for life;Iggy Pop;1977
681;Roundabout;Yes;1972
682;Rosanna;Toto;1982
683;Ik wou dat ik jou was;Veldhuis & Kemper;2003
684;Such a Shame;Talk Talk;1984
685;In Dreams;Roy Orbison;1963
686;Lady D'Arbanville;Cat Stevens;1970
687;Blauw;The Scene;1991
688;I've got dreams to remember;Otis Redding;1968
689;You took the words right out of my mouth (hot summer night);Meat Loaf;1979
690;Breakfast in America;Supertramp;1979
691;Red red wine;UB40;1983
692;As tears go by;The Rolling Stones;1966
693;Lucky Man;Emerson, Lake & Palmer;1971
694;Hello;Lionel Richie;1984
695;Honky Tonk Women;The Rolling Stones;1969
696;Mississippi;Pussycat;1975
697;In the Dutch Mountains;Nits;1987
698;Make me smile (come up and see me);Steve Harley & Cockney Rebel;1975
699;Wat zou je doen;Marco Borsato & Ali B;2004
700;Working Class Hero;John Lennon;1970
701;Jij bent zo;Jeroen van der Boom;2007
702;Going to the Run;Golden Earring;1991
703;Black magic woman;Santana;1970
704;Maid of Orleans;O.M.D.;1982
705;Laat me alleen;Rita Hovink;1977
706;I Can't Make You Love Me;Bonnie Raitt;1991
707;Why Worry;Dire Straits;1985
708;You'll never walk alone;Gerry & the Pacemakers;1963
709;Love me tender;Elvis Presley;1956
710;Born to be wild;Steppenwolf;1968
711;Hou me vast;Volumia!;1998
712;An American trilogy;Elvis Presley;1972
713;Biko;Peter Gabriel;1980
714;Sign “☮” the Times;Prince;1987
715;Psycho killer;Talking Heads;1978
716;De zee;Trijntje Oosterhuis;1996
717;Jolene;Dolly Parton;1974
718;Butterfly Kisses;Bob Carlisle;1997
719;Time in a bottle;Jim Croce;1973
720;Crazy Little Thing Called Love;Queen;1979
721;Eres Tu;Mocedades;1973
722;Vanmorgen vloog ze nog;Tsjechov;1988
723;Lucy in the Sky with Diamonds;The Beatles;1967
724;Don't Dream It's Over;Crowded House;1987
725;Diamante;Zucchero Fornaciari;1986
726;Here, there and everywhere;The Beatles;1966
727;Life on Mars?;David Bowie;1971
728;Uma casa Portugesa;Amália Rodrigues;1956
729;Daughters;John Mayer;2005
730;A Gentleman's Excuse Me;Fish;1990
731;Love of the common people;Paul Young;1984
732;A kind of magic;Queen;1986
733;Russians;Sting;1985
734;I'm Mandy fly me;10cc;1976
735;Duet;Brigitte Kaandorp & Herman Finkers;1990
736;So Lonely;The Police;1979
737;How Can We Hang On to a Dream?;Tim Hardin;1967
738;Land of Confusion;Genesis;1986
739;People Are Strange;The Doors;1967
740;In the year 2525 (exordium and terminus);Zager & Evans;1969
741;Hilversum 3;Herman van Veen;1984
742;Baker street;Gerry Rafferty;1978
743;At seventeen;Janis Ian;1975
744;Vlieg met me mee;Paul de Leeuw;1992
745;25 or 6 to 4;Chicago;1970
746;Nergens goed voor;De Dijk;1989
747;Ramona;The Blue Diamonds;1960
748;Don't stop;Fleetwood Mac;1977
749;It Was a Very Good Year;Frank Sinatra;1965
750;Stay with Me 'til the Morning;Vicki Brown & New London Chorale;1986
751;I put a spell on you;Alan Price Set;1966
752;Uncertain Smile;The The;1984
753;Bicycle Race;Queen;1978
754;Runnin' with the Devil;Van Halen;1980
755;After midnight;J.J. Cale;1972
756;Beast of Burden;Bette Midler;1984
757;Tusk;Fleetwood Mac;1979
758;Have you ever really loved a woman;Bryan Adams;1995
759;I Don't Like Mondays;The Boomtown Rats;1979
760;Black velvet;Alannah Myles;1990
761;The power of love;Céline Dion;1994
762;If I ain't got you;Alicia Keys;2003
763;La mama;Charles Aznavour;1964
764;Walk on;U2;2000
765;Isn't It Time;The Babys;1977
766;Zeg maar niets meer;André Hazes;1982
767;Cowboys and Angels;George Michael;1991
768;Gimme! Gimme! Gimme! (a man after midnight);ABBA;1979
769;Across the universe;The Beatles;1970
770;Waterloo Sunset;The Kinks;1967
771;'39;Queen;1975
772;Hart van mijn gevoel;De Kast;1999
773;Bright side of the road;Van Morrison;1979
774;Running up that hill;Kate Bush;1985
775;Tears in the Morning;The Beach Boys;1970
776;(Something Inside) So Strong;Labi Siffre;1987
777;De weg;Guus Meeuwis;2005
778;Stuck in a Moment You Can't Get Out Of;U2;2000
779;On the road again;Canned Heat;1968
780;Oh, pretty woman;Roy Orbison;1964
781;Green Green Grass of Home;Tom Jones;1966
782;On the Wings of a Nightingale;The Everly Brothers;1984
783;MacArthur Park;Donna Summer;1978
784;Everytime I think of you;Marco Borsato & Lucie Silvas;2006
785;Theme from 'Harry's Game';Clannad;1983
786;Wild Rover;The Dubliners;1964
787;Voir un ami pleurer;Jacques Brel;1961
788;Real Men;Joe Jackson;1982
789;Ruby Tuesday;The Rolling Stones;1967
790;Mrs. Robinson;Simon & Garfunkel;1968
791;Als de dag van toen;Reinhard Mey;1975
792;Blue monday;New Order;1983
793;Pinball Wizard;The Who;1969
794;Jumpin' Jack Flash;The Rolling Stones;1968
795;Mother Earth;Within Temptation;2002
796;Born on the Bayou;Creedence Clearwater Revival;1972
797;Run to You;Bryan Adams;1985
798;Song of the marching children;Earth & Fire;1971
799;Night Fever;Bee Gees;1978
800;If;Bread;1971
801;Touch Me;The Doors;1969
802;Sweet dreams;Eurythmics;1983
803;Monday, Monday;The Mamas and the Papas;1966
804;The Life I Live;Q65;1966
805;I Will Always Love You;Dolly Parton;1983
806;She's the one;Robbie Williams;1999
807;Free bird;Lynyrd Skynyrd;1974
808;Frozen;Madonna;1998
809;Could You Be Loved;Bob Marley & The Wailers;1980
810;J'veux de l'amour;Raymond van het Groenewoud;1980
811;Anyplace Anywhere Anytime;Nena & Kim Wilde;2003
812;Summertime;Billie Holiday;1936
813;Burning Love;Elvis Presley;1972
814;I Want You to Want Me;Cheap Trick;1979
815;Nescio;Nits;1983
816;Breakthru;Queen;1989
817;Een tip van de sluier;Boudewijn de Groot;1980
818;Let Love Rule;Lenny Kravitz;1989
819;Don't Know Why;Norah Jones;2002
820;Storm and Thunder;Earth & Fire;1971
821;Little Red Rooster;The Rolling Stones;1965
822;Black Betty;Ram Jam;1978
823;Isn't she lovely?;Stevie Wonder;1976
824;Smalltown Boy;Bronski Beat;1984
825;Wêr bisto;Twarres;2000
826;Let's stay together;Al Green;1971
827;Subterranean Homesick Blues;Bob Dylan;1965
828;Ziggy Stardust;David Bowie;1972
829;Air;Ekseption;1969
830;Wicked Game;Chris Isaak;1991
831;And I love her;The Beatles;1964
832;The weight;The Band;1968
833;Telkens weer;Willeke Alberti;1975
834;Avalon;Roxy Music;1982
835;Walk on the wild side;Lou Reed;1973
836;It's now or never;Elvis Presley;1960
837;Sammy;Ramses Shaffy;1966
838;Handle with Care;Traveling Wilburys;1988
839;Dyna-mite;Mud;1974
840;Yours Is No Disgrace;Yes;1971
841;Europa (Earth's cry Heaven's smile);Santana;1978
842;I've Just Lost Somebody;Golden Earring;1968
843;Hide in your shell;Supertramp;1974
844;Suite: Judy blue eyes;Crosby, Stills & Nash;1969
845;Back Home;Golden Earring;1970
846;(Walk me out in the) morning dew;Long John Baldry;1981
847;See Emily Play;Pink Floyd;1967
848;Perhaps Love;John Denver;1981
849;Voor ik vergeet;Spinvis;2002
850;Does youw mother know;ABBA;1979
851;Ain't no sunshine;Bill Withers;1971
852;Wonderful Life;Black;1987
853;All out of love;Air Supply;1980
854;The Girl from Ipanema;Astrud Gilberto;1964
855;Girl;The Beatles;1965
856;Close to Me;The Cure;1985
857;A hard day's night;The Beatles;1964
858;The One I Love;R.E.M.;1987
859;Een wonderkind van 50;Boudewijn de Groot;1996
860;Black Night;Deep Purple;1970
861;Mainstreet;Bob Seger & The Silver Bullet Band;1977
862;Liefste mijn liefste;Robert Long;1974
863;Eye of the Tiger;Survivor;1982
864;Because I Love You;Buddy Holly;1956
865;Cocaine;J.J. Cale;1976
866;House for sale;Lucifer;1975
867;Beautiful;Christina Aguilera;2003
868;El cóndor pasa;Simon & Garfunkel;1970
869;Another One Bites the Dust;Queen;1980
870;Tuesday afternoon;Moody Blues;1968
871;Sexual healing;Marvin Gaye;1982
872;Autobahn;Kraftwerk;1975
873;Lady Jane;The Rolling Stones;1966
874;Tous les garçons et les filles;Françoise Hardy;1963
875;Living doll;Cliff Richard;1959
876;Johnny B. Goode;Chuck Berry;1958
877;Heaven for Everyone;Queen;1995
878;Drops of Jupiter (Tell Me);Train;2001
879;You Give Me Something;James Morrison;2007
880;Vriendschap;Het Goede Doel;1983
881;You're the Voice;John Farnham;1987
882;Max;Paolo Conte;1988
883;Mercedes Benz;Janis Joplin;1970
884;Waiting on a Friend;The Rolling Stones;1981
885;Boulevard de la Madeleine;Moody Blues;1966
886;Fire;The Pointer Sisters;1979
887;Adiemus;Adiemus;1995
888;I will survive;Gloria Gaynor;1979
889;The road ahead (Miles of the unknown);City to City;1999
890;Cent mille chansons;Frida Boccara;1969
891;Love is all;Roger Glover & Guests;1975
892;It's a Long Way There;Little River Band;1976
893;Prisencolinensinainciusol;Adriano Celentano;1973
894;Elected;Alice Cooper;1972
895;Another Day, Another Road;Cuby + Blizzards;1967
896;Lay all your love on me;ABBA;1981
897;I'm alive;Céline Dion;2002
898;Honesty;Billy Joel;1979
899;Miss You Nights;Cliff Richard;1976
900;Summertime;Ella Fitzgerald & Louis Armstrong;1957
901;Linger;The Cranberries;1993
902;Come on Eileen;Dexys Midnight Runners;1982
903;Time of the Season;The Zombies;1969
904;Hair;Zen;1968
905;Wild Places;Duncan Browne;1979
906;You do something to me;Paul Weller;1995
907;Get ready;Rare Earth;1970
908;Rain Down on Me;Kane;2002
909;Cloudbusting;Kate Bush;1985
910;Feeling Good;Michael Bublé;2004
911;That's What Friends Are For;Trijntje Oosterhuis;2007
912;My Friend the Wind;Demis Roussos;1973
913;Spanish stroll;Mink DeVille;1977
914;Ann;Q65;1966
915;Streets of London;Ralph McTell;1972
916;Les lacs du Connemara;Michel Sardou;1982
917;Alive and Kicking;Simple Minds;1985
918;Beat it;Michael Jackson;1983
919;We Gotta Get out of This Place;The Animals;1965
920;Eight Days a Week;The Beatles;1965
921;Just the way you are;Billy Joel;1978
922;Beds Are Burning;Midnight Oil;1988
923;Blijf bij mij;Paul de Leeuw & Ruth Jacott;1993
924;I Heard It Through the Grapevine;Marvin Gaye;1969
925;Two out of Three Ain't Bad;Meat Loaf;1977
926;Let the music play;Barry White;1976
927;I want to live;Aphrodite's Child;1969
928;From a Distance;Bette Midler;1991
929;Pearlydumm;BZN;1980
930;We Can Work It Out;The Beatles;1965
931;Back in the U.S.S.R.;The Beatles;1968
932;Cosi Celeste;Zucchero Fornaciari;1997
933;Let's dance;David Bowie;1983
934;Do They Know It's Christmas?;Band Aid;1984
935;Let It Grow;Eric Clapton;1974
936;The promise you made;Cock Robin;1986
937;Long As I Can See the Light;Creedence Clearwater Revival;1970
938;Three Times a Lady;Commodores;1978
939;Rockin' all over the world;Status Quo;1977
940;Earth song;Michael Jackson;1995
941;One of these days;Pink Floyd;1971
942;Ben;Michael Jackson;1972
943;Hallelujah;Jeff Buckley;1994
944;Milord;Edith Piaf;1960
945;A thing called love;Johnny Cash;1972
946;Après toi;Vicky Leandros;1972
947;Don't Fear the Reaper;Blue Öyster Cult;1976
948;You give love a bad name;Bon Jovi;1986
949;The alternative way;Anita Meyer;1976
950;What It Is;Mark Knopfler;2000
951;Sunrise;Norah Jones;2004
952;What's a Woman;Vaya Con Dios;1990
953;The things we do for love;10cc;1976
954;Hijo de la luna;Mecano;1990
955;Spanish Harlem;Aretha Franklin;1971
956;Runaway;Del Shannon;1961
957;KL 204 (Als ik God was);Peter Koelewijn;1978
958;Lonely Days;Bee Gees;1970
959;Rock around the clock;Bill Haley & His Comets;1956
960;Keep on Loving You;REO Speedwagon;1981
961;Big in Japan;Alphaville;1984
962;I'm outta love;Anastacia;2000
963;Evergreen;Barbra Streisand;1977
964;Tragedy;Bee Gees;1979
965;In 't kleine café aan de haven;Vader Abraham;1976
966;The Poetry Man;Stevie Ann;2005
967;Ramblin' man;The Allman Brothers Band;1973
968;België (is er leven op Pluto...);Het Goede Doel;1982
969;Oxygène IV;Jean-Michel Jarre;1977
970;Driver's Seat;Sniff 'n' the Tears;1980
971;Stiekem gedanst;Toontje Lager;1983
972;It's five o'clock;Aphrodite's Child;1970
973;On every street;Dire Straits;1992
974;One Night;Elvis Presley;1959
975;The Ballad of Lucy Jordan;Marianne Faithfull;1979
976;Shout;The Trammps;1975
977;Love Is All Around;Wet Wet Wet;1994
978;De Regenboog;Frans Bauer & Marianne Weber;1997
979;All Good Things (Come to an End);Nelly Furtado;2007
980;All cried out;Alison Moyet;1985
981;My Sweet Lord;George Harrison;1970
982;Sex Machine;James Brown;1970
983;Drive;R.E.M.;1992
984;Is dit alles;Doe Maar;1982
985;He'll Have to Go;Jim Reeves;1960
986;Pour que tu m'aimes encore;Céline Dion;1995
987;Fire and Rain;James Taylor;1970
988;You'll never walk alone;Lee Towers;1976
989;Sledgehammer;Peter Gabriel;1986
990;Georgia on My Mind;Ray Charles;1960
991;The last time;The Rolling Stones;1965
992;Follow me;Amanda Lear;1978
993;The look of love;ABC;1982
994;If I said you had a beautiful body would you hold it against me;Bellamy Brothers;1979
995;It never rains in Southern California;Albert Hammond;1972
996;Hello, Goodbye;The Beatles;1967
997;The Way It Is;Bruce Hornsby & The Range;1986
998;True Colors;Cyndi Lauper;1986
999;Adiós Nonino;Carel Kraayenhof;2002
1000;Lady Madonna;The Beatles;1968
1001;You Win Again;Bee Gees;1987
1002;Because You Loved Me;Céline Dion;1996
1003;Strange Fruit;Billie Holiday;1939
1004;Ordinary World;Duran Duran;1993
1005;Versailles;White Soxx;1981
1006;You Were My Friend;Chi Coltrane;1973
1007;Eight miles high;The Byrds;1966
1008;(They Long to Be) Close to You;The Carpenters;1970
1009;New York State of Mind;Billy Joel;1976
1010;Woorden zonder woorden;De Kast;1998
1011;The Young Ones;Cliff Richard;1962
1012;Kinderballade;Boudewijn de Groot;1977
1013;Gaia;Valensia;1993
1014;You don't have to say you love me;Dusty Springfield;1966
1015;Too Much Love Will Kill You;Brian May;1992
1016;Helpless;Crosby, Stills, Nash & Young;1970
1017;All of my heart;ABC;1982
1018;De Clown;Ben Cramer;1971
1019;Please Forgive Me;Bryan Adams;1993
1020;Islands in the stream;Dolly Parton & Kenny Rogers;1983
1021;Good year for the roses;Elvis Costello;1981
1022;Listen to your heart;Roxette;1988
1023;Passie;Clouseau;1995
1024;All I Want for Christmas Is You;Mariah Carey;1994
1025;Ik voel me zo verdomd alleen;Danny de Munk;1984
1026;Nights on Broadway;Bee Gees;1975
1027;Just can't get enough;Depeche Mode;1985
1028;Ordinary people;John Legend;2005
1029;Carry on;Crosby, Stills, Nash & Young;1970
1030;Rhiannon (Will You Ever Win);Fleetwood Mac;1976
1031;Circle of Life;Elton John;1994
1032;Alles wat ademt;Rob de Nijs;1985
1033;Toveren;Herman van Veen;1987
1034;Home;Simply Red;2003
1035;The opera;Dizzy Man's Band;1975
1036;Fly me to the moon;Frank Sinatra;1964
1037;My Baby Just Cares for Me;Nina Simone;1987
1038;I Won't Let You Down;Ph.D.;1981
1039;How Can You Mend a Broken Heart;Bee Gees;1971
1040;I just don't know what to do with myself;Dusty Springfield;1964
1041;This Strange Effect;Dave Berry;1965
1042;You're my best friend;Queen;1976
1043;It's All over Now, Baby Blue;Them;1966
1044;Marieke;Jacques Brel;1961
1045;The 5th;Ekseption;1969
1046;Atlantis;Donovan;1969
1047;Song Sung Blue;Neil Diamond;1972
1048;I Wish It Would Rain Down;Phil Collins;1990
1049;The Last Seven Days;Unit Gloria;1969
1050;When doves cry;Prince;1984
1051;State of Independence;Donna Summer;1982
1052;September Morn';Neil Diamond;1979
1053;It's a Man's, Man's, Man's World;James Brown;1966
1054;There Must Be an Angel (Playing with My Heart);Eurythmics;1985
1055;Zwart wit;Frank Boeijen Groep;1984
1056;Going to a Town;Rufus Wainwright;2007
1057;Island in the Sun;Harry Belafonte;1957
1058;Maggie May;Rod Stewart;1971
1059;Paloma Blanca;George Baker Selection;1975
1060;Rebel Rebel;David Bowie;1974
1061;Can't get it out of my head;Electric Light Orchestra;1975
1062;Fool to Cry;The Rolling Stones;1976
1063;Bourée;Jethro Tull;1969
1064;Fly like an eagle;Steve Miller Band;1976
1065;Why;The Cats;1969
1066;The Sun Ain't Gonna Shine Anymore;The Walker Brothers;1966
1067;Mr. Blue;René Klijn;1993
1068;Open einde;Rob de Nijs;1987
1069;You can leave your hat on;Joe Cocker;1986
1070;Annabel;Hans de Booij;1983
1071;My special prayer;Percy Sledge;1969
1072;He'll Have to Go;Ry Cooder;1976
1073;I'll Find My Way Home;Jon & Vangelis;1982
1074;24 rozen;Toon Hermans;1967
1075;I'll have to say I love you in a song;Jim Croce;1974
1076;Slippery people (live);Talking Heads;1985
1077;Summer is over;Dusty Springfield;1974
1078;Scarborough Fair;Simon & Garfunkel;1966
1079;Never Tear Us Apart;INXS;1988
1080;Alone;Heart;1987
1081;Right next door (because of me);Robert Cray Band;1987
1082;Like a prayer;Madonna;1989
1083;Where Do You Go To (My Lovely)?;Peter Sarstedt;1969
1084;When I Was Young;The Animals & Eric Burdon;1967
1085;Sunshine of Your Love;Cream;1968
1086;Sylvia;Focus;1972
1087;Late again;Stealers Wheel;1973
1088;C'est ma vie;Adamo;1976
1089;Times were when;The Cats;1968
1090;Dancing in the Street;David Bowie & Mick Jagger;1985
1091;Spinning Wheel;Blood, Sweat & Tears;1969
1092;Battle Hymn of the Republic;Andy Williams;1968
1093;Peaceful Easy Feeling;Eagles;1972
1094;Super trouper;ABBA;1980
1095;Time stood still;Bad English;1991
1096;As tears go by;Marianne Faithfull;1964
1097;Ich bin wie du;Marianne Rosenberg;1976
1098;SOS;ABBA;1975
1099;More Than Words;Extreme;1991
1100;China girl;David Bowie;1983
1101;Turn! Turn! Turn! (to everything there is a season);The Byrds;1965
1102;Rock 'n' roll high school;Ramones;1980
1103;Living doll;Cliff Richard & The Young Ones;1986
1104;The Reflex;Duran Duran;1984
1105;Cambodia;Kim Wilde;1981
1106;Dreams;Fleetwood Mac;1977
1107;I wish;Stevie Wonder;1977
1108;Room to Move;John Mayall;1970
1109;September;Earth, Wind & Fire;1979
1110;Lemon tree;Fool's Garden;1996
1111;Do it again;Steely Dan;1972
1112;Love Her Madly;The Doors;1971
1113;A salty dog;Procol Harum;1969
1114;We Belong to the Night;Ellen Foley;1979
1115;Take the long way home;Supertramp;1979
1116;One step beyond;Madness;1979
1117;This is my life;Shirley Bassey;1979
1118;Only the lonely;Roy Orbison;1960
1119;The Living Years;Mike and the Mechanics;1989
1120;De bom;Doe Maar;1982
1121;Dance the Night Away;The Mavericks;1998
1122;Disco inferno;The Trammps;1977
1123;Ik ben blij dat ik je niet vergeten ben;Joost Nuissl;1975
1124;Don't Speak;No Doubt;1996
1125;'n Vriend;André Hazes;1980
1126;All My Loving;The Beatles;1964
1127;The first time ever I saw your face;Roberta Flack;1972
1128;Paradise City;Guns N' Roses;1989
1129;I've Been Loving You too Long;Otis Redding;1965
1130;Where have I been wrong;The Cats;1970
1131;I Saw Her Standing There;The Beatles;1963
1132;Back home;Cuby + Blizzards;1966
1133;Bird of paradise;Snowy White;1984
1134;Leven na de dood;Freek de Jonge & Stips;1997
1135;Sweet Caroline;Neil Diamond;1969
1136;Every Little Thing She Does Is Magic;The Police;1981
1137;Only love can break your heart;Neil Young;1970
1138;Homburg;Procol Harum;1967
1139;Once in a Lifetime;Talking Heads;1981
1140;Babe;Styx;1980
1141;Crazy;Seal;1991
1142;Big log;Robert Plant;1983
1143;California Girls;The Beach Boys;1965
1144;Rikki don’t lose that number;Steely Dan;1974
1145;Voltooid Verleden Tijd;Is Ook Schitterend;1997
1146;Always on my mind;Willie Nelson;1984
1147;Shout;Tears for Fears;1985
1148;New York Minute;Don Henley;1989
1149;Immortality;Céline Dion;1998
1150;Het is koud zonder jou;André Hazes;1980
1151;To love somebody;Bee Gees;1967
1152;Don't look back;Boston;1978
1153;Take a chance on me;ABBA;1977
1154;One love - people get ready;Bob Marley & The Wailers;1984
1155;Let's Stick Together;Bryan Ferry;1976
1156;Yesterday Once More;The Carpenters;1973
1157;Vaya con Dios;The Cats;1972
1158;Distant drums;Jim Reeves;1966
1159;50 ways to leave your lover;Paul Simon;1976
1160;When a man loves a woman;Percy Sledge;1966
1161;Start Me Up;The Rolling Stones;1981
1162;I've Seen All Good People;Yes;1971
1163;I Want It All;Queen;1989
1164;Secret garden;Bruce Springsteen;1995
1165;Boogie Wonderland;Earth, Wind & Fire feat. The Emotions;1979
1166;Grand Hotel;Procol Harum;1973
1167;Malle Babbe;Rob de Nijs;1975
1168;Girl You'll Be a Woman Soon;Neil Diamond;1971
1169;Kom van dat dak af;Peter Koelewijn & Zijn Rockets;1960
1170;You've Lost That Lovin' Feelin';The Righteous Brothers;1965
1171;This Melody;Julien Clerc;1976
1172;Woman;John Lennon;1981
1173;Tom Traubert's blues (Waltzing Matilda);Rod Stewart;1992
1174;Wonderful World;Sam Cooke;1960
1175;Emma;Hot Chocolate;1974
1176;Crazy on You;Heart;1977
1177;Blue bayou;Linda Ronstadt;1977
1178;Iedereen is van de wereld;The Scene;1991
1179;Go Now!;Moody Blues;1965
1180;If I Fell;The Beatles;1965
1181;Road to Nowhere;Talking Heads;1985
1182;Twist in My Sobriety;Tanita Tikaram;1988
1183;Traveling in the USA;Bintangs;1970
1184;Sister Golden Hair;America;1975
1185;Thank God I'm a Country Boy;John Denver;1975
1186;Belle Hélène;Doe Maar;1982
1187;Per spoor (Kedeng kedeng);Guus Meeuwis & Vagant;1996
1188;Superstition;Stevie Wonder;1973
1189;Je hoeft niet naar huis vannacht;Marco Borsato;1995
1190;I belong to you;Eros Ramazzotti & Anastacia;2005
1191;Midnight Rambler;The Rolling Stones;1969
1192;Daniel;Elton John;1973
1193;Don't Let the Sun Go Down on Me;George Michael & Elton John;1991
1194;Orchard Road;Leo Sayer;1983
1195;Old town;Phil Lynott;1982
1196;Had to Fall in Love;Moody Blues;1978
1197;Suzanne;VOF de Kunst;1983
1198;If there is something;Roxy Music;1972
1199;Cose Della Vita;Eros Ramazzotti & Tina Turner;1998
1200;I've got you under my skin;Frank Sinatra;1956
1201;Hilton Barcelona;Stef Bos;1994
1202;Yellow submarine;The Beatles;1966
1203;Alabama;Neil Young;1972
1204;The old fashioned way;Charles Aznavour;1973
1205;Ik heb genoeg van jou;ZZ & De Maskers;1965
1206;War;Bruce Springsteen;1980
1207;Gigi l'amoroso;Dalida;1974
1208;Titles;Barclay James Harvest;1976
1209;Rendez-vous 6.02;U.K.;1979
1210;Let your love flow;Bellamy Brothers;1976
1211;I'll never drink again;Alexander Curly;1972
1212;They don't play our lovesong anymore;Anita Meyer;1981
1213;Woman from Tokyo;Deep Purple;1972
1214;Don't cry for me Argentina;Julie Covington;1977
1215;When you say nothing at all;Ronan Keating;1999
1216;New York New York;Frank Sinatra;1980
1217;Because the Night;Patti Smith;1978
1218;The road to Mandalay;Robbie Williams;2001
1219;This Love;Maroon 5;2004
1220;Hello Josephine;The Scorpions;1965
1221;Do You Know the Way to San Jose;Trijntje Oosterhuis;2007
1222;A Different Corner;George Michael;1986
1223;Voorbij;Marco Borsato & Do;2004
1224;Je N'attendais Pas à Toi;Patrick Bruel;2006
1225;Funkin' for Jamaica (N.Y.);Tom Browne;1981
1226;I Can Hear Music;The Beach Boys;1969
1227;You're still the one;Shania Twain;1998
1228;Alegria;Cirque du Soleil;1997
1229;Ashes to ashes;David Bowie;1980
1230;Eyes without a face;Billy Idol;1984
1231;Ain't Nobody;Chaka Khan & Rufus;1984
1232;Money, Money, Money;ABBA;1976
1233;(Where do I begin) love story;Andy Williams;1971
1234;Still Crazy after All These Years;Paul Simon;1975
1235;The Worker;Fischer-Z;1979
1236;Nu dat jij er bent;Trijntje Oosterhuis;2003
1237;Heartbreak Hotel;Elvis Presley;1956
1238;You Can Call Me Al;Paul Simon;1986
1239;Sunny Afternoon;The Kinks;1966
1240;Love is a battlefield;Pat Benatar;1984
1241;Gold;Spandau Ballet;1983
1242;One more night;Phil Collins;1985
1243;Never be clever;Herman Brood & His Wild Romance;1979
1244;100 Years;Joey Dyser;1975
1245;I just called to say I love you;Stevie Wonder;1984
1246;Who are you;The Who;1978
1247;This town ain't big enough for both of us;Sparks;1974
1248;Heaven;Do;2002
1249;Ring, Ring, I've Got to Sing;Ferre Grignard;1966
1250;Memory Motel;The Rolling Stones;1976
1251;Nether Lands;Dan Fogelberg;1977
1252;I Want to Hold Your Hand;The Beatles;1964
1253;Ain't nobody home;B.B. King;1989
1254;The Ballroom Blitz;The Sweet;1973
1255;Somewhere Between;The Tumbleweeds;1975
1256;Down on the Corner;Creedence Clearwater Revival;1969
1257;No Milk Today;Herman's Hermits;1966
1258;I Can't Stop Loving You;Ray Charles;1962
1259;Twist and shout;The Beatles;1963
1260;Wheelchair groupie;Alquin;1975
1261;Time is on my side;The Rolling Stones;1965
1262;She was naked;Supersister;1970
1263;Shy Boy;Katie Melua;2007
1264;Guus;Alexander Curly;1975
1265;Birmingham;Randy Newman;1974
1266;Don't Let Me Be Misunderstood;Santa Esmeralda;1977
1267;Tomorrow is another day;The Buffoons;1967
1268;San Franciscan Nights;The Animals & Eric Burdon;1967
1269;The name of the game;ABBA;1977
1270;Then I Kissed Her;The Beach Boys;1967
1271;Fallin';Alicia Keys;2001
1272;The sun always shines on t.v.;a-ha;1986
1273;La Solitudine;Laura Pausini;1993
1274;Blue Hotel;Chris Isaak;1987
1275;Hips Don't Lie;Shakira & Wyclef Jean;2006
1276;If you don't know me by now;Simply Red;1989
1277;It's my life;Talk Talk;1984
1278;I'm a Believer;The Monkees;1966
1279;She's Madonna;Robbie Williams & Pet Shop Boys;2007
1280;Wooden Heart;Elvis Presley;1961
1281;All Right Now;Free;1970
1282;Lying All the Time;The Outsiders;1966
1283;Cold as Ice;Foreigner;1977
1284;One Day I'll Fly Away;Randy Crawford;1980
1285;Memories;Earth & Fire;1972
1286;We'll Meet Again;Vera Lynn;1939
1287;The Eve of the War;Jeff Wayne & Justin Hayward;1978
1288;Sailin' home;Piet Veerman;1987
1289;Walking on the Moon;The Police;1979
1290;China in your hand;T'Pau;1987
1291;You Can't Hurry Love;Phil Collins;1982
1292;No Regrets;The Walker Brothers;1976
1293;Don't Bring Me Down;Electric Light Orchestra;1979
1294;La vie en rose;Grace Jones;1977
1295;Opzij;Herman van Veen;1979
1296;Dead Flowers;The Rolling Stones;1971
1297;Everlasting Love;Jamie Cullum;2004
1298;Release me;Engelbert Humperdinck;1967
1299;In the Mood;Glenn Miller;1940
1300;Manuela;Jacques Herb;1971
1301;Save the last dance for me;The Drifters;1961
1302;Y.M.C.A.;Village People;1978
1303;Substitute;The Who;1966
1304;Ik zing dit lied voor jou alleen;Jan Smit;1997
1305;Huilen is voor jou te laat;Corry en de Rekels;1970
1306;Copacabana;Barry Manilow;1978
1307;As Long as You Love Me;Backstreet Boys;1997
1308;From This Moment;Shania Twain;1997
1309;Theme from 'Mahogany';Diana Ross;1976
1310;Rosalyn;Vitesse;1982
1311;Ebony Eyes;The Everly Brothers;1961
1312;Sound and Vision;David Bowie;1977
1313;While you see a chance;Steve Winwood;1981
1314;Save a Prayer;Duran Duran;1985
1315;Can't buy me love;The Beatles;1964
1316;Wonderful;Colin Blunstone;1973
1317;Summertime Blues;Blue Cheer;1968
1318;Bailamos;Enrique Iglesias;1999
1319;You Are;Dolly Parton;1983
1320;New York Mining Disaster 1941;Bee Gees;1967
1321;Still the Same;Bob Seger & The Silver Bullet Band;1978
1322;Big yellow taxi;Counting Crows & Vanessa Carlton;2002
